date,date.1,year,month,day,day_num_(sunday=1),week_num,temperature,precipitation,windspeed,school_holidays,holidays,weekend(weekend=1),special_events,sunneklaas,total_traffic_per_hour
2023-04-16,4/16/2023,2023,4,16,1,16,282.05,0.0,24.1,0,0,1,0,0,200.17
2023-04-17,4/17/2023,2023,4,17,2,16,283.35,0.0,25.7,0,0,0,0,0,174.24
2023-04-18,4/18/2023,2023,4,18,3,16,282.75,0.0,46.7,0,0,0,0,0,142.52
2023-04-19,4/19/2023,2023,4,19,4,16,284.05,0.0,53.1,0,0,0,0,0,166.86
2023-04-20,4/20/2023,2023,4,20,5,16,282.05,1.6,41.8,0,0,0,0,0,156.47
2023-04-21,4/21/2023,2023,4,21,6,16,283.85,2.6,40.2,0,0,0,0,0,257.53
2023-04-22,4/22/2023,2023,4,22,7,16,282.05,10.4,25.7,0,0,1,0,0,195.83
2023-04-23,4/23/2023,2023,4,23,1,17,284.65,8.6,35.4,0,0,1,0,0,196.93
2023-04-24,4/24/2023,2023,4,24,2,17,281.75,4.4,48.3,0,0,0,0,0,195.17
2023-04-25,4/25/2023,2023,4,25,3,17,279.55,0.4,37.0,0,0,0,0,0,135.62
2023-04-26,4/26/2023,2023,4,26,4,17,278.35,0.2,29.0,0,0,0,0,0,156.09
2023-04-27,4/27/2023,2023,4,27,5,17,281.05,0.0,22.5,0,1,0,0,0,155.07
2023-04-28,4/28/2023,2023,4,28,6,17,283.75,5.6,30.6,0,0,0,0,0,290.17
2023-04-29,4/29/2023,2023,4,29,7,17,284.25,0.0,24.1,1,0,1,0,0,245.03
2023-04-30,4/30/2023,2023,4,30,1,18,284.15,0.0,20.9,1,0,1,0,0,237.6
2023-05-01,5/1/2023,2023,5,1,2,18,284.95,0.0,24.1,1,0,0,0,0,287.98
2023-05-02,5/2/2023,2023,5,2,3,18,282.35,0.0,32.2,1,0,0,1,0,177.23
2023-05-03,5/3/2023,2023,5,3,4,18,282.45,0.0,27.4,1,0,0,0,0,201.55
2023-05-04,5/4/2023,2023,5,4,5,18,288.05,0.0,30.6,1,0,0,0,0,218.29
2023-05-05,5/5/2023,2023,5,5,6,18,286.95,2.2,27.4,1,0,0,0,0,283.5
2023-05-06,5/6/2023,2023,5,6,7,18,287.95,3.8,20.9,1,0,1,0,0,203.92
2023-05-07,5/7/2023,2023,5,7,1,19,288.35,4.0,27.4,1,0,1,0,0,212.32
2023-05-08,5/8/2023,2023,5,8,2,19,287.95,0.0,27.4,0,0,0,0,0,170.6
2023-05-09,5/9/2023,2023,5,9,3,19,286.85,8.4,25.7,0,0,0,0,0,123.52
2023-05-10,5/10/2023,2023,5,10,4,19,286.15,4.0,22.5,0,0,0,0,0,157.26
2023-05-11,5/11/2023,2023,5,11,5,19,286.35,0.2,27.4,0,0,0,0,0,158.46
