date,year,month,day,day_num_(sunday=1),week_num,Temperature,Precipitation,Windspeed,School Holidays,Holidays,Weekend(weekend=1),Special Events,Sunneklaas,total_traffic_per_hour,total_bike_per_hour
20230416,2023,4,16,1,16,282.05,0,24.1,0,0,1,0,0,200.17,53.02
20230417,2023,4,17,2,16,283.35,0,25.7,0,0,0,0,0,174.24,38.37
20230418,2023,4,18,3,16,282.75,0,46.7,0,0,0,0,0,142.52,39.12
20230419,2023,4,19,4,16,284.05,0,53.1,0,0,0,0,0,166.86,57.05
20230420,2023,4,20,5,16,282.05,1.6,41.8,0,0,0,0,0,156.47,26.04
20230421,2023,4,21,6,16,283.85,2.6,40.2,0,0,0,0,0,257.53,65.08
20230422,2023,4,22,7,16,282.05,10.4,25.7,0,0,1,0,0,195.83,44.85
20230423,2023,4,23,1,17,284.65,8.6,35.4,0,0,1,0,0,196.93,58.16
20230424,2023,4,24,2,17,281.75,4.4,48.3,0,0,0,0,0,195.17,32.9
20230425,2023,4,25,3,17,279.55,0.4,37,0,0,0,0,0,135.62,27.78
20230426,2023,4,26,4,17,278.35,0.2,29,0,0,0,0,0,156.09,29.4
20230427,2023,4,27,5,17,281.05,0,22.5,0,1,0,0,0,155.07,36.39
20230428,2023,4,28,6,17,283.75,5.6,30.6,0,0,0,0,0,290.17,50.23
20230429,2023,4,29,7,17,284.25,0,24.1,1,0,1,0,0,245.03,76.15
20230430,2023,4,30,1,18,284.15,0,20.9,1,0,1,0,0,237.6,88.72
20230501,2023,5,1,2,18,284.95,0,24.1,1,0,0,0,0,287.98,83.2
20230502,2023,5,2,3,18,282.35,0,32.2,1,0,0,1,0,177.23,43.31
20230503,2023,5,3,4,18,282.45,0,27.4,1,0,0,0,0,201.55,62.93
20230504,2023,5,4,5,18,288.05,0,30.6,1,0,0,0,0,218.29,59.86
20230505,2023,5,5,6,18,286.95,2.2,27.4,1,0,0,0,0,283.5,72.72
20230506,2023,5,6,7,18,287.95,3.8,20.9,1,0,1,0,0,203.92,61.89
20230507,2023,5,7,1,19,288.35,4,27.4,1,0,1,0,0,212.32,59.69
20230508,2023,5,8,2,19,287.95,0,27.4,0,0,0,0,0,170.6,41.54
20230509,2023,5,9,3,19,286.85,8.4,25.7,0,0,0,0,0,123.52,17.76
20230510,2023,5,10,4,19,286.15,4,22.5,0,0,0,0,0,157.26,33.07
20230511,2023,5,11,5,19,286.35,0.2,27.4,0,0,0,0,0,158.46,35.39
20230512,2023,5,12,6,19,288.65,1.8,29,0,0,0,0,0,273.07,83.3
20230513,2023,5,13,7,19,289.55,0,29,0,0,1,0,0,182.91,70.52
20230514,2023,5,14,1,20,287.75,0,24.1,0,0,1,0,0,192.44,61.88
20230515,2023,5,15,2,20,284.45,0.6,33.8,0,0,0,0,0,184.56,40
20230516,2023,5,16,3,20,283.85,0,37,0,0,0,0,0,146.57,29.08
20230517,2023,5,17,4,20,283.65,0,29,0,0,0,0,0,215.43,56.96
20230518,2023,5,18,5,20,283.35,0,27.4,0,1,0,1,0,194.23,61.57
20230519,2023,5,19,6,20,286.95,0,32.2,0,0,0,0,0,255.49,109.9
20230520,2023,5,20,7,20,289.05,0,43.4,0,0,1,0,0,242.74,104.26
20230521,2023,5,21,1,21,290.05,0,35.4,0,0,1,0,0,296.88,88.05
20230522,2023,5,22,2,21,291.15,1.8,32.2,0,0,0,0,0,209.15,50.04
20230523,2023,5,23,3,21,285.55,0,43.4,0,0,0,0,0,168.22,44.63
20230524,2023,5,24,4,21,284.75,0,29,0,0,0,0,0,181.09,63.04
20230525,2023,5,25,5,21,285.15,0,35.4,0,0,0,0,0,163.88,42.87
20230526,2023,5,26,6,21,285.55,0,32.2,0,0,0,0,0,284.24,83.98
20230527,2023,5,27,7,21,287.85,0,27.4,0,0,1,0,0,254.18,96.04
20230528,2023,5,28,1,22,288.85,0,33.8,0,1,1,0,0,217.36,104.55
20230529,2023,5,29,2,22,285.95,0,35.4,0,1,0,0,0,296.58,98.93
20230530,2023,5,30,3,22,285.85,0,22.5,0,0,0,0,0,204.62,42.37
20230531,2023,5,31,4,22,288.55,0,32.2,0,0,0,0,0,176.83,45.31
20230601,2023,6,1,5,22,285.65,0,30.6,0,0,0,0,0,157.76,35.01
20230602,2023,6,2,6,22,287.05,0,32.2,0,0,0,0,0,343.27,107.95
20230603,2023,6,3,7,22,289.75,0,30.6,0,0,1,0,0,233.05,92.12
